date,pm25,pm10,o3,no2,so2,co,AQI
2022/12/1,78.0,37.0,4.0,18.0,0.0,0.0,78.0
2022/12/2,93.0,24.0,3.0,17.0,0.0,0.0,93.0
2022/12/3,68.0,30.0,5.0,17.0,0.0,0.0,68.0
2022/12/4,79.0,29.0,1.0,16.0,0.0,0.0,79.0
2022/12/5,77.0,34.0,0.0,17.0,0.0,0.0,77.0
2022/12/6,81.0,38.0,4.0,24.0,0.0,0.0,81.0
2022/12/7,76.0,42.0,4.0,27.0,0.0,0.0,76.0
2022/12/8,80.0,36.0,7.0,26.0,0.0,0.0,80.0
2022/12/9,77.0,33.0,11.0,24.0,0.0,0.0,77.0
2022/12/10,73.0,30.0,12.0,22.0,0.0,0.0,73.0
2022/12/11,62.0,38.0,10.0,22.0,0.0,0.0,62.0
2022/12/12,78.0,44.0,6.0,28.0,0.0,0.0,78.0
2022/12/13,80.0,53.0,3.0,23.0,0.0,0.0,80.0
2022/12/14,91.0,51.0,3.0,28.0,0.0,0.0,91.0
2022/12/15,101.0,39.0,6.0,30.0,0.0,0.0,101.0
2022/12/16,85.0,42.0,10.0,31.0,0.0,0.0,85.0
2022/12/17,93.0,44.0,4.0,24.0,0.0,0.0,93.0
2022/12/18,103.0,28.0,14.0,29.0,0.0,0.0,103.0
2022/12/19,60.0,16.0,13.0,19.0,0.0,0.0,60.0
2022/12/20,46.0,0.0,0.0,0.0,0.0,0.0,46.0
2022/11/1,47.0,30.0,23.0,23.0,0.0,0.0,47.0
2022/11/2,51.0,24.0,19.0,27.0,0.0,0.0,51.0
2022/11/3,48.0,20.0,21.0,19.0,0.0,0.0,48.0
2022/11/4,36.0,28.0,18.0,25.0,0.0,0.0,36.0
2022/11/5,57.0,20.0,14.0,21.0,0.0,0.0,57.0
2022/11/6,54.0,24.0,23.0,21.0,0.0,0.0,54.0
2022/11/7,42.0,27.0,22.0,29.0,0.0,0.0,42.0
2022/11/8,49.0,24.0,21.0,24.0,0.0,0.0,49.0
2022/11/9,41.0,34.0,15.0,28.0,0.0,0.0,41.0
2022/11/10,63.0,24.0,15.0,20.0,0.0,0.0,63.0
2022/11/11,53.0,39.0,2.0,22.0,0.0,0.0,53.0
2022/11/12,77.0,34.0,3.0,20.0,0.0,0.0,77.0
2022/11/13,77.0,28.0,12.0,19.0,0.0,0.0,77.0
2022/11/14,62.0,20.0,17.0,25.0,0.0,0.0,62.0
2022/11/15,47.0,20.0,21.0,25.0,0.0,0.0,47.0
2022/11/16,44.0,19.0,26.0,18.0,0.0,0.0,44.0
2022/11/17,36.0,20.0,21.0,21.0,0.0,0.0,36.0
2022/11/18,40.0,19.0,17.0,20.0,0.0,0.0,40.0
2022/11/19,40.0,18.0,18.0,23.0,0.0,0.0,40.0
2022/11/20,48.0,25.0,22.0,23.0,0.0,0.0,48.0
2022/11/21,41.0,18.0,22.0,19.0,0.0,0.0,41.0
2022/11/22,30.0,23.0,19.0,26.0,0.0,0.0,30.0
2022/11/23,52.0,30.0,22.0,25.0,0.0,0.0,52.0
2022/11/24,52.0,27.0,17.0,30.0,0.0,0.0,52.0
2022/11/25,56.0,34.0,12.0,26.0,0.0,0.0,56.0
2022/11/26,80.0,14.0,9.0,22.0,0.0,0.0,80.0
2022/11/27,63.0,13.0,18.0,10.0,0.0,0.0,63.0
2022/11/28,51.0,28.0,13.0,23.0,0.0,0.0,51.0
2022/11/29,73.0,30.0,9.0,25.0,0.0,0.0,73.0
2022/11/30,61.0,31.0,5.0,18.0,0.0,0.0,61.0
2022/10/1,31.0,16.0,23.0,19.0,0.0,0.0,31.0
2022/10/2,35.0,24.0,16.0,26.0,0.0,0.0,35.0
2022/10/3,55.0,38.0,18.0,31.0,0.0,0.0,55.0
2022/10/4,70.0,33.0,29.0,22.0,0.0,0.0,70.0
2022/10/5,53.0,33.0,23.0,21.0,0.0,0.0,53.0
2022/10/6,49.0,43.0,25.0,31.0,0.0,0.0,49.0
2022/10/7,68.0,25.0,19.0,20.0,0.0,0.0,68.0
2022/10/8,48.0,32.0,25.0,26.0,0.0,0.0,48.0
2022/10/9,57.0,43.0,18.0,25.0,0.0,0.0,57.0
2022/10/10,64.0,32.0,13.0,26.0,0.0,0.0,64.0
2022/10/11,53.0,44.0,18.0,32.0,0.0,0.0,53.0
2022/10/12,68.0,33.0,17.0,29.0,0.0,0.0,68.0
2022/10/13,65.0,14.0,17.0,24.0,0.0,0.0,65.0
2022/10/14,42.0,13.0,24.0,19.0,0.0,0.0,42.0
2022/10/15,38.0,20.0,19.0,23.0,0.0,0.0,38.0
2022/10/16,31.0,31.0,11.0,27.0,0.0,0.0,31.0
2022/10/17,62.0,25.0,16.0,28.0,0.0,0.0,62.0
2022/10/18,57.0,28.0,14.0,20.0,0.0,0.0,57.0
2022/10/19,53.0,30.0,20.0,27.0,0.0,0.0,53.0
2022/10/20,60.0,29.0,21.0,29.0,0.0,0.0,60.0
2022/10/21,56.0,30.0,21.0,28.0,0.0,0.0,56.0
