name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
paris,2022-01-01,13.9,7.8,10.5,13.9,6.8,10,8.5,88.2,0.048,100,16.67,rain,0,0,25.3,13,178.8,1024.6,77.6,14.5,33.6,2.9,2,,2022-01-01T08:44:12,2022-01-01T17:04:25,0.99,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"07149099999,07156099999,07146099999,E3042,07157099999,07147099999,07150099999"
paris,2022-01-02,14,9.5,11.9,14,8.4,11.7,8.2,78.5,0.144,100,4.17,rain,0,0,53.6,24.5,221,1018.9,89.8,24.3,18.2,1.5,1,,2022-01-02T08:44:09,2022-01-02T17:05:25,1,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"07149099999,07156099999,07146099999,E3042,07157099999,07147099999,07150099999"
paris,2022-01-03,12.7,10.8,11.5,12.7,10.8,11.5,9.1,85.5,8.867,100,25,rain,0,0,52.3,22.8,224,1015.4,97.9,17,18.9,1.7,1,,2022-01-03T08:44:02,2022-01-03T17:06:28,0,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"07149099999,07156099999,07146099999,E3042,07145099999,07153099999,07157099999,07147099999,07150099999"
paris,2022-01-04,11.5,4.6,8.8,11.5,0.1,6.8,7,89,21.068,100,58.33,rain,0,0,59.4,26.6,280.8,1002,98.9,17.8,13.3,1.1,1,,2022-01-04T08:43:53,2022-01-04T17:07:33,0.02,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"07149099999,07156099999,07146099999,07145099999,E3042,07157099999,07147099999,07150099999"
paris,2022-01-05,6.5,2,4.1,3.4,-1.8,1.2,0.1,75.3,0.014,100,4.17,rain,0,0,48,18.5,291.2,1014.3,26,23.2,27.2,2.3,2,,2022-01-05T08:43:40,2022-01-05T17:08:40,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"07149099999,07156099999,07146099999,E3042,07145099999,07157099999,07147099999,07150099999"
paris,2022-01-06,6.7,0.9,3.5,5.1,-1.1,1.4,0.1,79.4,0,0,0,,0,0,29.7,15.1,238.4,1021.5,73.6,19.5,28,2.5,2,,2022-01-06T08:43:25,2022-01-06T17:09:49,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,E3042,07157099999,07147099999,07150099999"
paris,2022-01-07,8.2,2.9,5.5,5,-1.1,2.1,2.8,83.2,3.329,100,25,rain,0,0,58.2,24.9,240.8,1016.3,95,20.4,36.1,3.3,3,,2022-01-07T08:43:07,2022-01-07T17:11:01,0.14,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"07149099999,07156099999,07146099999,E3042,E8015,07157099999,07147099999,07150099999"
paris,2022-01-08,8.5,2.8,6.2,5.2,0.4,3.1,4.3,88.2,9.742,100,50,rain,0,0,78.3,27.9,241,1009.2,86.1,17.7,12,1.1,1,,2022-01-08T08:42:45,2022-01-08T17:12:14,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"07149099999,07156099999,07146099999,E3042,07157099999,07147099999,07150099999"
paris,2022-01-09,6.9,4.4,5.2,4.9,1.1,2.9,3.4,88.1,8.887,100,45.83,rain,0,0,73.5,31.3,273.1,1006.2,92.6,17.8,18.8,1.6,1,,2022-01-09T08:42:21,2022-01-09T17:13:29,0.24,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"07149099999,07156099999,07146099999,E3042,07157099999,07147099999,07150099999"
paris,2022-01-10,4.5,2.6,3.5,4.4,-0.3,1.8,2.9,95.8,0,0,0,,0,0,23.6,12,140.9,1020.5,95.9,6.7,18.5,1.6,1,10,2022-01-10T08:41:54,2022-01-10T17:14:46,0.28,Overcast,Cloudy skies throughout the day.,cloudy,"07149099999,07156099999,07146099999,E3042,07157099999,07147099999,07150099999"
