date,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,moonphase
2022-01-01,13.9,7.8,10.5,13.9,6.8,10.0,8.5,88.2,0.048,100,16.67,0.0,0.0,25.3,13.0,178.8,1024.6,77.6,14.5,33.6,2.9,0.99
2022-01-02,14.0,9.5,11.9,14.0,8.4,11.7,8.2,78.5,0.144,100,4.17,0.0,0.0,53.6,24.5,221.0,1018.9,89.8,24.3,18.2,1.5,1.0
2022-01-03,12.7,10.8,11.5,12.7,10.8,11.5,9.1,85.5,8.867,100,25.0,0.0,0.0,52.3,22.8,224.0,1015.4,97.9,17.0,18.9,1.7,0.0
2022-01-04,11.5,4.6,8.8,11.5,0.1,6.8,7.0,89.0,21.068,100,58.33,0.0,0.0,59.4,26.6,280.8,1002.0,98.9,17.8,13.3,1.1,0.02
2022-01-05,6.5,2.0,4.1,3.4,-1.8,1.2,0.1,75.3,0.014,100,4.17,0.0,0.0,48.0,18.5,291.2,1014.3,26.0,23.2,27.2,2.3,0.05
2022-01-06,6.7,0.9,3.5,5.1,-1.1,1.4,0.1,79.4,0.0,0,0.0,0.0,0.0,29.7,15.1,238.4,1021.5,73.6,19.5,28.0,2.5,0.09
2022-01-07,8.2,2.9,5.5,5.0,-1.1,2.1,2.8,83.2,3.329,100,25.0,0.0,0.0,58.2,24.9,240.8,1016.3,95.0,20.4,36.1,3.3,0.14
2022-01-08,8.5,2.8,6.2,5.2,0.4,3.1,4.3,88.2,9.742,100,50.0,0.0,0.0,78.3,27.9,241.0,1009.2,86.1,17.7,12.0,1.1,0.19
2022-01-09,6.9,4.4,5.2,4.9,1.1,2.9,3.4,88.1,8.887,100,45.83,0.0,0.0,73.5,31.3,273.1,1006.2,92.6,17.8,18.8,1.6,0.24
2022-01-10,4.5,2.6,3.5,4.4,-0.3,1.8,2.9,95.8,0.0,0,0.0,0.0,0.0,23.6,12.0,140.9,1020.5,95.9,6.7,18.5,1.6,0.28
2022-01-11,2.9,0.1,1.7,1.7,-2.7,-0.7,0.5,92.4,0.0,0,0.0,0.0,0.0,22.8,12.6,141.0,1033.2,92.0,5.9,39.9,3.5,0.33
2022-01-12,5.2,-0.4,2.3,4.5,-2.6,1.3,0.6,89.1,0.0,0,0.0,0.0,0.0,23.1,11.0,44.7,1039.7,77.9,5.9,18.1,1.7,0.38
2022-01-13,3.6,2.0,2.7,1.2,-0.7,0.4,1.8,93.7,0.0,0,0.0,0.0,0.0,25.2,10.3,30.7,1041.1,65.8,7.8,17.4,1.4,0.41
2022-01-14,7.1,1.0,3.4,6.0,-1.0,2.2,0.6,83.0,0.0,0,0.0,0.0,0.0,17.5,10.1,108.9,1036.0,5.1,10.4,38.8,3.4,0.45
2022-01-15,7.8,-0.6,2.6,7.8,-4.8,1.6,0.3,85.6,0.144,100,4.17,0.0,0.0,25.4,13.6,278.6,1027.9,20.9,5.4,39.2,3.4,0.47
2022-01-16,5.2,-1.1,1.7,3.8,-4.2,-0.8,0.8,93.4,0.516,100,12.5,0.0,0.0,30.3,13.4,221.8,1030.3,99.2,6.5,18.7,1.5,0.49
2022-01-17,7.5,4.0,5.8,6.9,2.7,5.0,4.3,90.3,0.0,0,0.0,0.0,0.0,18.2,7.7,304.9,1037.5,84.7,9.8,20.8,1.8,0.5
2022-01-18,9.4,2.2,5.1,7.3,-0.8,3.0,2.8,85.6,0.144,100,4.17,0.0,0.0,38.5,15.2,63.9,1036.5,54.3,12.7,40.5,3.4,0.5
2022-01-19,6.4,4.3,5.5,4.6,2.8,3.6,3.4,86.2,1.143,100,12.5,0.0,0.0,29.9,13.4,261.3,1028.9,98.7,12.1,15.3,1.3,0.52
2022-01-20,6.9,3.2,5.0,4.9,0.3,2.2,2.1,81.7,0.152,100,4.17,0.0,0.0,40.9,18.9,356.8,1032.8,71.7,19.3,44.3,3.8,0.53
2022-01-21,5.6,2.4,4.0,3.7,-1.3,1.1,1.0,81.4,0.0,0,0.0,0.0,0.0,38.3,17.3,358.9,1038.0,82.9,20.4,29.0,2.4,0.56
